,id,username,date,retweet
974,1368208176676368388,radioelshinta,2021-03-06,@sugaalamzir
981,1366951761504690178,radioelshinta,2021-03-03,@turunBuyutKarti
983,1366723768459042817,radioelshinta,2021-03-02,@greenxcode
987,1366534802992603141,radioelshinta,2021-03-02,@sumantopraja
988,1366529603238383622,radioelshinta,2021-03-02,@rosvalino
991,1366322726793662465,radioelshinta,2021-03-01,@shy_1105
996,1366110924885516291,radioelshinta,2021-03-01,@andisaka16
1047,1361724521711996931,radioelshinta,2021-02-17,@dewaruci1945
1050,1361434611260170241,radioelshinta,2021-02-16,@FarhanF83325726
1053,1360973122942300161,radioelshinta,2021-02-14,@ElshintaTegal_
1054,1360805307304144896,radioelshinta,2021-02-14,
1055,1360794580048744450,radioelshinta,2021-02-14,
1058,1360758938241691648,radioelshinta,2021-02-14,
1059,1360743762784178179,radioelshinta,2021-02-14,@ElshintaTegal_
1060,1360662523905626114,radioelshinta,2021-02-14,@balangijo2020
1063,1360413609805766656,radioelshinta,2021-02-13,
1064,1360413549193928704,radioelshinta,2021-02-13,@wargapucanggadi
1065,1360413479799148546,radioelshinta,2021-02-13,@turunBuyutKarti
1066,1360413349633134594,radioelshinta,2021-02-13,@afumadokomedo
1067,1360402580027842560,radioelshinta,2021-02-13,@anjarVratama
1069,1359959139754119169,radioelshinta,2021-02-12,@GraceBarends1
1070,1359793074642120704,radioelshinta,2021-02-11,@buitenzorg812
1071,1359722949725491203,radioelshinta,2021-02-11,@ide2nesia2
1072,1359578883905835012,radioelshinta,2021-02-11,
1073,1359526790289448963,radioelshinta,2021-02-10,@hendrygontoro
1075,1359329167439921153,radioelshinta,2021-02-10,
1076,1358470436867088384,radioelshinta,2021-02-08,@ardnamils
1078,1358342948551753730,radioelshinta,2021-02-07,@bagaas_hermawan
